sep=	
No. 	Hole  Pos.	Weight  [mg]	Name  	Method  	N  Area	N  [%]	N [mg]	N  Factor	N  Blank	Protein  [%]	Protein [mg]	Protein  Factor	Moisture  [%]	Memo  	Info  	Date       Time  	
1	1	0.01	Blnk	blank [O2]	328	0.000	0.000	1.0000	328	0.000	0.000	5.7000	0.00			31.12.2024 09:24:24	
2	1	0.01	Blnk	blank [O2]	262	0.000	0.000	1.0000	262	0.000	0.000	5.7000	0.00			31.12.2024 09:30:26	
3	1	0.01	Blnk	blank [O2]	164	0.000	0.000	1.0000	164	0.000	0.000	5.7000	0.00			31.12.2024 09:36:30	
4	1	0.01	Blnk	blank [O2]	158	0.000	0.000	1.0000	158	0.000	0.000	5.7000	0.00			31.12.2024 09:42:33	
5	2	257.60	RunIn	cereals	25162	3.803	9.797	1.0000	0	21.678	55.844	5.7000	0.00			31.12.2024 09:50:10	
6	3	199.30	aspartic acid	cereals	54697	10.520	20.966	0.9756	0	59.964	119.508	5.7000	0.00			31.12.2024 09:56:34	
7	4	200.10	aspartic acid	cereals	54865	10.520	21.051	0.9765	0	59.964	119.988	5.7000	0.00			31.12.2024 10:03:01	
8	5	200.10	aspartic acid	cereals	54657	10.520	21.051	0.9803	0	59.964	119.988	5.7000	0.00			31.12.2024 10:09:17	
9	6	199.50	ref_asp	cereals	54897	10.568	21.084	0.9775	0	60.239	120.176	5.7000	0.00			31.12.2024 10:15:35	
10	7	392.40	SE5001214	cereals	21942	2.123	8.330	0.9775	0	12.100	47.482	5.7000	0.00			31.12.2024 10:21:41	
11	8	404.60	SE5001214	cereals	22743	2.135	8.640	0.9775	0	12.172	49.248	5.7000	0.00			31.12.2024 10:27:45	
12	9	396.20	SE5001214	cereals	22045	2.113	8.370	0.9775	0	12.042	47.709	5.7000	0.00			31.12.2024 10:33:48	
13	10	405.50	SE5001215	cereals	22593	2.116	8.582	0.9775	0	12.064	48.919	5.7000	0.00			31.12.2024 10:39:52	
