sep=	
No. 	Hole  Pos.	Weight  [mg]	Name  	Method  	N  Area	N  [%]	N [mg]	N  Factor	N  Blank	Protein  [%]	Protein [mg]	Protein  Factor	Moisture  [%]	Memo  	Info  	Date       Time  	
14	11	407.90	SE5001215	cereals	22666	2.111	8.610	0.9775	0	12.032	49.079	5.7000	0.00			31.12.2024 10:45:55	
15	12	397.60	SE5001215	cereals	22058	2.106	8.375	0.9775	0	12.007	47.739	5.7000	0.00			31.12.2024 10:52:01	
16	13	397.80	SE5001216	cereals	22130	2.112	8.403	0.9775	0	12.041	47.898	5.7000	0.00			31.12.2024 10:58:04	
17	14	392.80	SE5001216	cereals	21545	2.082	8.177	0.9775	0	11.865	46.608	5.7000	0.00			31.12.2024 11:04:10	
18	15	401.30	SE5001216	cereals	22317	2.112	8.475	0.9775	0	12.038	48.310	5.7000	0.00			31.12.2024 11:10:14	
19	16	391.90	SE5001217	cereals	21435	2.076	8.134	0.9775	0	11.831	46.364	5.7000	0.00			31.12.2024 11:16:23	
20	17	400.60	SE5001217	cereals	22210	2.105	8.434	0.9775	0	12.000	48.073	5.7000	0.00			31.12.2024 11:22:26	
21	18	401.00	SE5001217	cereals	22042	2.087	8.369	0.9775	0	11.896	47.703	5.7000	0.00			31.12.2024 11:28:34	
22	19	392.80	SE5001218	cereals	22222	2.148	8.438	0.9775	0	12.245	48.099	5.7000	0.00			31.12.2024 11:34:37	
23	20	398.30	SE5001218	cereals	22641	2.159	8.601	0.9775	0	12.308	49.023	5.7000	0.00			31.12.2024 11:40:42	
24	21	406.10	SE5001218	cereals	22955	2.148	8.722	0.9775	0	12.243	49.717	5.7000	0.00			31.12.2024 11:46:49	
25	22	392.60	SE5001219	cereals	22204	2.148	8.432	0.9775	0	12.242	48.061	5.7000	0.00			31.12.2024 11:53:02	
26	23	396.50	SE5001219	cereals	22575	2.163	8.575	0.9775	0	12.328	48.879	5.7000	0.00			31.12.2024 11:59:16	
27	24	404.70	SE5001219	cereals	22924	2.152	8.710	0.9775	0	12.268	49.649	5.7000	0.00			31.12.2024 12:05:23	
28	25	406.90	SE5001220	cereals	22535	2.104	8.560	0.9775	0	11.991	48.790	5.7000	0.00			31.12.2024 12:11:39	
29	26	394.70	SE5001220	cereals	21850	2.102	8.295	0.9775	0	11.979	47.280	5.7000	0.00			31.12.2024 12:17:53	
30	27	403.60	SE5001220	cereals	22244	2.093	8.447	0.9775	0	11.930	48.149	5.7000	0.00			31.12.2024 12:24:01	
31	28	405.20	SE5001221	cereals	22835	2.141	8.676	0.9775	0	12.204	49.452	5.7000	0.00			31.12.2024 12:30:14	
32	29	400.80	SE5001221	cereals	22524	2.135	8.555	0.9775	0	12.167	48.766	5.7000	0.00			31.12.2024 12:36:25	
33	30	403.20	SE5001221	cereals	22986	2.166	8.734	0.9775	0	12.347	49.785	5.7000	0.00			31.12.2024 12:42:39	
34	31	395.80	SE5001222	cereals	22013	2.112	8.358	0.9775	0	12.036	47.640	5.7000	0.00			31.12.2024 12:48:47	
35	32	401.80	SE5001222	cereals	22127	2.091	8.402	0.9775	0	11.919	47.890	5.7000	0.00			31.12.2024 12:54:56	
36	33	392.60	SE5001222	cereals	21416	2.070	8.127	0.9775	0	11.799	46.322	5.7000	0.00			31.12.2024 13:01:04	
37	34	408.50	SE5001223	cereals	21878	2.033	8.306	0.9775	0	11.589	47.342	5.7000	0.00			31.12.2024 13:07:12	
38	35	397.90	SE5001223	cereals	21344	2.035	8.099	0.9775	0	11.602	46.163	5.7000	0.00		ST10100000	31.12.2024 13:13:23	
39	36	405.60	SE5001223	cereals	21879	2.048	8.306	0.9775	0	11.672	47.343	5.7000	0.00			31.12.2024 13:20:11	
40	37	407.50	SE5001224	cereals	21570	2.009	8.186	0.9775	0	11.451	46.662	5.7000	0.00			31.12.2024 13:26:17	
41	38	395.00	SE5001224	cereals	20951	2.012	7.947	0.9775	0	11.468	45.297	5.7000	0.00			31.12.2024 13:32:28	
42	39	402.90	SE5001224	cereals	21430	2.018	8.132	0.9775	0	11.505	46.354	5.7000	0.00			31.12.2024 13:38:38	
43	40	399.30	SE5001225	cereals	20652	1.961	7.831	0.9775	0	11.179	44.637	5.7000	0.00			31.12.2024 13:44:47	
44	41	393.80	SE5001225	cereals	20500	1.974	7.772	0.9775	0	11.250	44.302	5.7000	0.00			31.12.2024 13:51:04	
45	42	407.10	SE5001225	cereals	21157	1.972	8.026	0.9775	0	11.238	45.750	5.7000	0.00			31.12.2024 13:57:10	
46	43	397.20	SE5001226	cereals	20337	1.941	7.709	0.9775	0	11.063	43.942	5.7000	0.00			31.12.2024 14:03:14	
47	44	396.20	SE5001226	cereals	20316	1.944	7.701	0.9775	0	11.079	43.896	5.7000	0.00			31.12.2024 14:09:27	
48	45	401.90	SE5001226	cereals	20612	1.945	7.815	0.9775	0	11.084	44.548	5.7000	0.00			31.12.2024 14:15:36	
49	46	392.80	SE5001227	cereals	20615	1.990	7.817	0.9775	0	11.343	44.555	5.7000	0.00			31.12.2024 14:21:49	
50	47	394.50	SE5001227	cereals	20968	2.016	7.953	0.9775	0	11.492	45.335	5.7000	0.00			31.12.2024 14:27:56	
51	48	400.50	SE5001227	cereals	21350	2.023	8.101	0.9775	0	11.530	46.176	5.7000	0.00			31.12.2024 14:34:06	
52	49	392.10	SE5001228	cereals	19862	1.919	7.525	0.9775	0	10.940	42.894	5.7000	0.00			31.12.2024 14:40:19	
53	50	392.30	SE5001228	cereals	19898	1.922	7.539	0.9775	0	10.954	42.973	5.7000	0.00			31.12.2024 14:46:26	
54	51	397.80	SE5001228	cereals	20215	1.926	7.662	0.9775	0	10.979	43.673	5.7000	0.00			31.12.2024 14:52:43	
55	52	407.10	SE5001229	cereals	20700	1.928	7.850	0.9775	0	10.991	44.744	5.7000	0.00			31.12.2024 14:58:53	
56	53	406.70	SE5001229	cereals	20737	1.934	7.864	0.9775	0	11.022	44.826	5.7000	0.00			31.12.2024 15:05:12	
57	54	396.80	SE5001229	cereals	20368	1.946	7.721	0.9775	0	11.091	44.010	5.7000	0.00			31.12.2024 15:11:29	
58	55	402.50	SE5001211	cereals	23021	2.173	8.748	0.9775	0	12.388	49.863	5.7000	0.00			31.12.2024 15:17:41	
59	56	401.30	SE5001211	cereals	22932	2.171	8.713	0.9775	0	12.376	49.666	5.7000	0.00			31.12.2024 15:23:51	
60	57	395.40	SE5001211	cereals	22607	2.172	8.588	0.9775	0	12.380	48.949	5.7000	0.00			31.12.2024 15:29:56	
61	58	403.10	Manitoba 17/11/24	cereals	29692	2.811	11.330	0.9775	0	16.020	64.579	5.7000	0.00			31.12.2024 15:36:20	
62	59	391.00	Manitoba 17/11/24	cereals	28407	2.770	10.832	0.9775	0	15.791	61.744	5.7000	0.00			31.12.2024 15:42:58	
63	60	393.20	Manitoba 17/11/24	cereals	28808	2.794	10.987	0.9775	0	15.928	62.627	5.7000	0.00			31.12.2024 15:49:17	
64	61	400.10	SE5001230	cereals	20857	1.977	7.910	0.9775	0	11.269	45.088	5.7000	0.00			31.12.2024 15:55:22	
65	62	391.90	SE5001230	cereals	20463	1.980	7.758	0.9775	0	11.283	44.220	5.7000	0.00			31.12.2024 16:01:27	
66	63	393.10	SE5001230	cereals	20900	2.017	7.927	0.9775	0	11.494	45.184	5.7000	0.00			31.12.2024 16:07:31	
67	64	406.10	SE5001231	cereals	20957	1.957	7.949	0.9775	0	11.158	45.311	5.7000	0.00			31.12.2024 16:13:34	
68	65	405.80	SE5001231	cereals	21191	1.981	8.040	0.9775	0	11.293	45.825	5.7000	0.00			31.12.2024 16:19:42	
69	66	390.80	SE5001231	cereals	20463	1.985	7.758	0.9775	0	11.315	44.219	5.7000	0.00			31.12.2024 16:25:50	
70	67	406.10	SE5001232	cereals	20988	1.960	7.961	0.9775	0	11.174	45.378	5.7000	0.00			31.12.2024 16:31:57	
71	68	393.00	SE5001232	cereals	20753	2.003	7.870	0.9775	0	11.415	44.860	5.7000	0.00			31.12.2024 16:38:00	
72	69	402.90	SE5001232	cereals	21124	1.989	8.014	0.9775	0	11.338	45.679	5.7000	0.00			31.12.2024 16:44:23				 	
